,firstName,lastName,decade
1142,Anna,Faris,70s
1143,Sonny,Rollins,30s
1144,Elmer,Bernstein,20s
1146,David,Copperfield,50s
1147,Oscar,Robertson,30s
1148,James,Newton Howard,50s
1149,Michelle,Trachtenberg,80s
1150,H.,Robert Horvitz,40s
1151,Christian,Slater,60s
1152,Martin,Landau,20s
1153,Maya,Angelou,20s
1154,Pat,Metheny,50s
1155,Harry,Markowitz,20s
1156,Jane,Krakowski,60s
1157,Lauren,Bacall,20s
1158,Jean,Harlow,10s
1159,Owen,Wilson,60s
1160,Chris,Columbus,50s
1161,John,Stockton,60s
1162,RZA,,60s
1163,Bill,Maher,50s
1164,Dita,Von Teese,70s
1166,Courteney,Cox,60s
1167,Chick,Corea,40s
1168,Michael,Madsen,50s
1169,Mike,Huckabee,50s
1170,Hulk,Hogan,50s
1171,Julian,Schwinger,10s
1172,John,Cassavetes,20s
1173,Leland,H. Hartwell,30s
1174,Joel,Schumacher,30s
1175,Triple,H,60s
1176,Michael,Bay,60s
1177,Edgar,Dean Mitchell,30s
1178,Vince,McMahon,40s
1179,Bill,Paxton,50s
1180,Mira,Sorvino,60s
1181,Allen,Iverson,70s
1182,Mick,Foley,60s
1183,Rita,Hayworth,10s
1184,Christopher,Paolini,80s
1185,Robert,Rauschenberg,20s
1186,Shawn,Michaels,60s
1187,Charlie,Sheen,60s
1188,Rob,Van Dam,70s
1189,Michelle,Rodriguez,70s
1190,Keith,Haring,50s
1191,Eddie,Guerrero,60s
1193,Stan,Getz,20s
1194,Chet,Baker,20s
1195,Steve,Carell,60s
1196,Maurice,Sendak,20s
1197,Michelle,Branch,80s
1198,Susan,Sontag,30s
1199,Carrot,Top,60s
1200,Jerry,Bruckheimer,40s
1203,Sean,Hayes,70s
1204,Greg,Grunberg,60s
1205,Mike,Powell,60s
1206,Miranda,Cosgrove,90s
1207,Danny,Aiello,30s
1208,Larry,King,30s
1209,Jody,Williams,50s
1210,Giovanni,Ribisi,70s
1211,Dennis,Quaid,50s
1212,Anthony,Kiedis,60s
1215,Robert,Woodrow Wilson,30s
1216,Barry,Levinson,40s
1217,Jennifer,Tilly,50s
1218,Arthur,Ashe,40s
