,decades,name,number
461,00s,Aiyanna,1295
462,00s,Aiyden,5
463,00s,Aiza,32
464,00s,Aizen,9
465,00s,Aizik,15
466,00s,Aizza,5
467,00s,Aj,172
468,00s,Aja,1290
469,00s,Ajah,209
470,00s,Ajanae,130
471,00s,Ajane,5
472,00s,Ajanee,8
473,00s,Ajani,542
474,00s,Ajay,906
475,00s,Ajayla,5
476,00s,Ajdin,11
477,00s,Ajia,16
478,00s,Ajit,6
479,00s,Ajla,127
480,00s,Akai,5
481,00s,Akane,5
482,00s,Akanksha,7
483,00s,Akansha,5
484,00s,Akari,18
485,00s,Akash,491
486,00s,Akasha,200
487,00s,Akayla,332
488,00s,Akaylah,5
489,00s,Akaysha,5
490,00s,Akeelah,786
491,00s,Akeem,360
492,00s,Akela,5
493,00s,Akemi,65
494,00s,Akeria,27
495,00s,Akhil,454
496,00s,Akhila,5
497,00s,Akia,20
498,00s,Akil,88
499,00s,Akila,5
500,00s,Akilah,192
501,00s,Akili,14
502,00s,Akina,16
503,00s,Akio,5
504,00s,Akira,2262
505,00s,Akirah,16
506,00s,Akiva,397
507,00s,Akoni,14
508,00s,Akosua,9
509,00s,Akram,50
510,00s,Aksel,105
511,00s,Akshaj,7
512,00s,Akshar,22
513,00s,Akshara,72
514,00s,Akshat,49
515,00s,Akshay,402
516,00s,Akshaya,32
517,00s,Akshita,18
518,00s,Akua,5
519,00s,Akul,12
520,00s,Akyra,38
521,00s,Al,63
522,00s,Alaa,134
523,00s,Alabama,5
524,00s,Alacia,6
525,00s,Alahna,67
526,00s,Alaia,30
527,00s,Alaija,5
528,00s,Alaijah,29
529,00s,Alain,424
530,00s,Alaina,12113
531,00s,Alainna,6
532,00s,Alaisha,16
533,00s,Alaiya,17
534,00s,Alaiyah,26
535,00s,Alaiza,10
536,00s,Alajah,62
537,00s,Alakai,31
538,00s,Alam,10
539,00s,Alan,29141
540,00s,Alana,17770
541,00s,Alanah,894
542,00s,Alandra,29
543,00s,Alandria,10
544,00s,Alani,1897
545,00s,Alania,6
546,00s,Alanie,57
547,00s,Alanis,613
548,00s,Alanna,5763
549,00s,Alannah,1481
550,00s,Alannis,5
551,00s,Alante,15
552,00s,Alany,42
553,00s,Alanys,15
554,00s,Alara,24
555,00s,Alaric,37
556,00s,Alasdair,6
557,00s,Alasia,246
558,00s,Alassane,5
559,00s,Alastair,26
560,00s,Alauna,28
561,00s,Alaura,135
562,00s,Alaya,1135
563,00s,Alayah,926
564,00s,Alaycia,14
565,00s,Alayia,5
566,00s,Alayiah,10
567,00s,Alayja,23
568,00s,Alayjah,58
569,00s,Alayla,125
570,00s,Alayna,9852
571,00s,Alaynah,28
572,00s,Alaynna,5
573,00s,Alaysha,350
574,00s,Alayshia,14
575,00s,Alaysia,1504
576,00s,Alayssa,6
577,00s,Alazae,81
578,00s,Alazay,84
579,00s,Alba,403
580,00s,Alban,13
581,00s,Albany,10
582,00s,Albaro,5
583,00s,Albeiro,5
584,00s,Albert,8693
585,00s,Alberto,10426
586,00s,Albi,6
587,00s,Albieri,5
588,00s,Albiery,5
589,00s,Albin,12
590,00s,Albina,5
591,00s,Albino,23
592,00s,Alcides,12
593,00s,Aldahir,30
594,00s,Aldair,327
595,00s,Alden,1680
596,00s,Alder,12
597,00s,Aldin,43
598,00s,Aldo,3822
599,00s,Aldrin,44
600,00s,Alea,607
601,00s,Aleah,3757
602,00s,Aleana,36
603,00s,Alec,13091
604,00s,Alecia,675
605,00s,Aleck,38
606,00s,Alecsander,7
607,00s,Alecxis,6
608,00s,Aleczander,99
609,00s,Aleea,6
610,00s,Aleeah,11
611,00s,Aleecia,15
612,00s,Aleem,18
613,00s,Aleen,62
614,00s,Aleena,2593
615,00s,Aleenah,24
616,00s,Aleesa,19
617,00s,Aleesha,39
618,00s,Aleeya,73
619,00s,Aleeyah,49
620,00s,Aleeza,198
621,00s,Alegandro,12
622,00s,Alegra,12
623,00s,Alegria,6
624,00s,Aleia,52
625,00s,Aleiah,6
626,00s,Aleida,216
627,00s,Aleigh,5
628,00s,Aleigha,1031
629,00s,Aleina,31
630,00s,Aleisha,79
631,00s,Aleiyah,16
632,00s,Alejah,5
633,00s,Alejandra,15305
634,00s,Alejandrina,50
635,00s,Alejandro,42520
636,00s,Alejo,26
637,00s,Alek,825
638,00s,Alekhya,5
639,00s,Aleks,43
640,00s,Aleksa,40
641,00s,Aleksandar,150
642,00s,Aleksander,698
