ID,name,birthstate,countryName,countryCode,birthyear,gender,occupation
16103,John Wayne,IA,UNITED STATES,US,1907,Male,ACTOR
26202,Ralph Waldo Emerson,MA,UNITED STATES,US,1803,Male,WRITER
16134,Jefferson Davis,KY,UNITED STATES,US,1808,Male,POLITICIAN
1928850,John Roberts,NY,UNITED STATES,US,1955,Male,JUDGE
16187,John Dewey,VT,United States,US,1859,Male,PSYCHOLOGIST
16193,Jackie Robinson,GA,United States,US,1919,Male,BASEBALL PLAYER
16218,Jeffrey Dahmer,WI,United States,US,1960,Male,EXTREMIST
16228,Jim Henson,MS,UNITED STATES,US,1936,Male,FILM DIRECTOR
16245,Janis Joplin,TX,United States,US,1943,Female,SINGER
16273,James Stewart,PA,United States,US,1908,Male,ACTOR
9657,Edgar Rice Burroughs,IL,UNITED STATES,US,1875,Male,WRITER
11194,Francis Fukuyama,IL,United States,US,1952,Male,POLITICAL SCIENTIST
16307,Jackson Pollock,WY,UNITED STATES,US,1912,Male,PAINTER
4164817,Chad Michael Murray,NY,UNITED STATES,US,1981,Male,ACTOR
16321,Joseph McCarthy,WI,UNITED STATES,US,1908,Male,POLITICIAN
27007,Samuel Morse,MA,UNITED STATES,US,1791,Male,INVENTOR
14279,Hugh Hefner,IL,UNITED STATES,US,1926,Male,BUSINESSPERSON
16277,Jack Ruby,IL,UNITED STATES,US,1911,Male,MAFIOSO
16289,James D. Watson,IL,UNITED STATES,US,1928,Male,BIOLOGIST
173082,Mae West,NY,United States,US,1893,Female,ACTOR
32037,Ursula K. Le Guin,CA,UNITED STATES,US,1929,Female,WRITER
20647767,Jennifer Connelly,NY,UNITED STATES,US,1970,Female,ACTOR
262260,Steve Vai,NY,United States,US,1960,Male,MUSICIAN
16553,Julia Roberts,GA,UNITED STATES,US,1967,Female,ACTOR
52260,John Carpenter,NY,United States,US,1948,Male,FILM DIRECTOR
16707,Kurt Cobain,WA,UNITED STATES,US,1967,Male,SINGER
142229,Mike Dirnt,CA,UNITED STATES,US,1972,Male,MUSICIAN
16757,Kyle MacLachlan,WA,UNITED STATES,US,1959,Male,ACTOR
16768,Kevin Spacey,NJ,UNITED STATES,US,1959,Male,ACTOR
16333,James Heckman,IL,UNITED STATES,US,1944,Male,ECONOMIST
16827,Kevin Bacon,PA,UNITED STATES,US,1958,Male,ACTOR
16861,Kurt Vonnegut,IN,UNITED STATES,US,1922,Male,WRITER
18188,L. Frank Baum,NY,UNITED STATES,US,1856,Male,WRITER
17095,Kary Mullis,NC,UNITED STATES,US,1944,Male,CHEMIST
17257,Ken Kesey,CO,UNITED STATES,US,1935,Male,WRITER
17450,Kirsten Dunst,NJ,UNITED STATES,US,1982,Female,ACTOR
159599,Ben Affleck,CA,UNITED STATES,US,1972,Male,ACTOR
17528,Laura Bush,TX,United States,US,1946,Female,COMPANION
17652,Lee Harvey Oswald,LA,United States,US,1939,Male,EXTREMIST
17862,L. Ron Hubbard,NE,United States,US,1911,Male,WRITER
287468,Elihu Root,NY,UNITED STATES,US,1845,Male,POLITICIAN
18002,Louisa May Alcott,PA,United States,US,1832,Female,WRITER
16384,John Belushi,IL,United States,US,1949,Male,ACTOR
44205,Rosie O'Donnell,NY,UNITED STATES,US,1962,Female,ACTOR
18313,Louis Armstrong,LA,UNITED STATES,US,1901,Male,MUSICIAN
3223944,David Petraeus,NY,UNITED STATES,US,1952,Male,MILITARY PERSONNEL
18706,Lee Van Cleef,NJ,United States,US,1925,Male,ACTOR
18894,Matt Groening,OR,UNITED STATES,US,1954,Male,COMIC ARTIST
412200,Julius Erving,NY,United States,US,1950,Male,BASKETBALL PLAYER
18060,Leonard Bloomfield,IL,UNITED STATES,US,1887,Male,LINGUIST
242319,Rebecca Romijn,CA,UNITED STATES,US,1972,Female,ACTOR
253555,Tom Kenny,NY,UNITED STATES,US,1962,Male,ACTOR
564099,Philip Seymour Hoffman,NY,UNITED STATES,US,1967,Male,ACTOR
19019,Mr. T,IL,UNITED STATES,US,1952,Male,ACTOR
19617,Margaret Mead,PA,UNITED STATES,US,1901,Female,ANTHROPOLOGIST
81455,William H. Seward,NY,UNITED STATES,US,1801,Male,POLITICIAN
21181,Nancy Reagan,NY,UNITED STATES,US,1921,Female,ACTOR
170146,David Schwimmer,NY,UNITED STATES,US,1966,Male,ACTOR
19903,Marlon Brando,NE,UNITED STATES,US,1924,Male,ACTOR
391022,Nicole Richie,CA,UNITED STATES,US,1981,Female,CELEBRITY
20076,"Martin Luther King, Jr.",GA,UNITED STATES,US,1929,Male,SOCIAL ACTIVIST
316201,Jon Favreau,NY,UNITED STATES,US,1966,Male,ACTOR
113159,Hank Azaria,NY,United States,US,1964,Male,ACTOR
20308,Mary Cassatt,PA,UNITED STATES,US,1844,Female,ARTIST
19565,Michael Mann,IL,UNITED STATES,US,1943,Male,FILM DIRECTOR
20435,Martin Gardner,OK,UNITED STATES,US,1914,Male,WRITER
415956,David Caruso,NY,United States,US,1956,Male,ACTOR
265032,Telly Savalas,NY,United States,US,1922,Male,ACTOR
